year-trained,year-predicted,mse,r2,mae,rmse,explained_var
1999,2013,116.11257780318013,-1.834951800971191,9.697301564420101,10.775554640164938,-0.032536719566937045
1999,2014,163.78623335421003,0.08027622750699692,9.03244896900351,12.797899568062332,0.2215282014352672
1999,2015,551.8293539471418,-8.384426884392544,16.498548647817273,23.491048379055837,-8.128333611499727
1999,2016,200.12576497141563,-2.441585701404373,10.496043288791348,14.146581388145181,-1.9622555672562374
1999,2017,2884.2600382402884,-12.545736153819842,48.00518845642555,53.705307356352485,-2.663792728465824
1999,2018,10301.168003345849,-23.386229049665626,88.91059674452514,101.49466982726653,-9.12899690759814
1999,2019,28274.944245691215,-22.796309617416714,138.54958776883092,168.15155142219538,-7.729070287162781
1999,2020,124663.31914300678,-142.18912292561387,308.42702875165,353.07693091308977,-102.49014633129983
2000,2013,72.31851011204853,-0.765695795964751,7.412177655632361,8.504029051693587,0.14009724985962235
2000,2014,126.07165449457052,0.2920583415248287,7.9821519886597185,11.228163451543201,0.3089967075420076
2000,2015,765.900155297099,-12.024921484729486,22.293688488915052,27.67490117953629,-7.036314952007439
2000,2016,182.01469450971268,-2.130127548342338,10.615312510161203,13.491282167003723,-1.7908894742071442
2000,2017,5190.382039167618,-23.37628532376893,66.97407641587262,72.04430608429523,-2.8753799276286056
2000,2018,17262.925853462963,-39.86698360741302,118.02850518256221,131.38845403407015,-8.949633078691178
2000,2019,43415.07581961501,-35.53830675279285,177.59725277525885,208.36284654327176,-9.280295524201623
2000,2020,165869.65478325973,-189.51899589761285,351.46560322485635,407.2709844602973,-92.38898329849226
2001,2013,0.2645780608029765,0.9935401826041423,0.40307117477468574,0.5143715202098348,0.9935446372614986
2001,2014,0.1701532520249518,0.9990445229269306,0.34263022053010994,0.4124963660748441,0.9992835393737503
2001,2015,0.12431200858326721,0.9978859461769165,0.25564842068592214,0.35257908131831533,0.9979315608720767
2001,2016,0.25966378593256983,0.9955345321330029,0.47461560097260086,0.5095721596914119,0.9990355947852586
2001,2017,0.22476933996465917,0.9989443856884391,0.37194497663811793,0.474098449654351,0.999206371216411
2001,2018,1.9052803149102056,0.9954895792255667,1.1563224853949639,1.380318917826676,0.9969048589868752
2001,2019,3.26872508504355,0.9972490274957919,1.426913785237175,1.8079615828450422,0.998267800661264
2001,2020,43.331836850348886,0.9502287621089277,5.0957880814959395,6.582692219020185,0.9509243690673089
2002,2013,0.11939991593271547,0.9970847860489065,0.3132663449262198,0.3455429292182311,0.9993617202858439
2002,2014,0.23434115447857057,0.9986840827447244,0.4363940285355481,0.4840879615096523,0.9997441934290582
2002,2015,0.44404964495861166,0.992448478145739,0.5800076135198508,0.6663705012668341,0.9981590723139465
2002,2016,0.326816763364508,0.9943796946888113,0.5417955737340634,0.5716788988273994,0.9994277777139973
2002,2017,0.23483080319289695,0.9988971326930767,0.382565775034146,0.4845934411368946,0.9995079895979353
2002,2018,1.061466591506767,0.9974871619004132,0.6881255600224427,1.0302750077075378,0.9976751542292291
2002,2019,1.50388050039176,0.9987343279723576,0.8513760311366251,1.2263280557794314,0.9987350720692659
2002,2020,38.033160223412516,0.9563148575545906,4.306788466585468,6.167103065736174,0.9566257090070651
2003,2013,0.6234192001493545,0.9847788808270259,0.6742912417583605,0.7895689964463869,0.9956370263225641
2003,2014,0.800975734328497,0.9955022079147593,0.8105939121921892,0.8949724768552925,0.999191870837795
2003,2015,1.8656743946071788,0.9682722841381297,1.3172260131080897,1.365896919466172,0.997779182037592
2003,2016,0.5746862539042767,0.9901170546705313,0.6989491896973474,0.758080638127816,0.9985183605140723
2003,2017,3.4550157360182734,0.9837737475307695,1.7873484565776694,1.858767262466787,0.998777042874216
2003,2018,9.069252135634107,0.9785301181558337,2.810616805549382,3.011519904572126,0.996839455235222
2003,2019,15.254396967326326,0.987161836638571,3.5481735834153354,3.9056877713568356,0.9976846693755024
2003,2020,67.77630752244191,0.922151679451577,7.363051137234512,8.232636729653624,0.9631078180506129
2004,2013,0.7682004965529654,0.9812439666536269,0.6897667956561916,0.8764704767149692,0.9816375515223235
2004,2014,0.49065881082774426,0.9972447588343675,0.5612243427013153,0.700470421094099,0.9977909008131638
2004,2015,0.37299979607710093,0.9936567540506115,0.43552361726445893,0.6107370924359359,0.9940455792985926
2004,2016,0.6367904930754361,0.9890490409564621,0.7307470151860312,0.7979915369698078,0.9966492744404303
2004,2017,1.082194437782038,0.9949175455309257,0.8375740055545533,1.0402857481394419,0.9977976506025513
2004,2018,7.981948164437928,0.9811041217716944,2.5332890535073096,2.8252341786899593,0.9960474419380148
2004,2019,18.746487184159434,0.9842228791188095,3.6397780095780656,4.3297213748877,0.995321871466644
2004,2020,95.20947667327678,0.8906417577137167,8.81489070576806,9.757534354194034,0.963219515497309
2005,2013,0.3553586220812642,0.9913237257778603,0.4235498681606411,0.5961196373893953,0.9927659110311982
2005,2014,0.4919937319583995,0.9972372627300055,0.6492329545350017,0.7014226485924158,0.9992250724050894
2005,2015,0.5996100190095105,0.9898030136630191,0.7294029728842872,0.7743448966768687,0.9981020174285801
2005,2016,0.796332057334773,0.9863053864029715,0.8628851884575983,0.8923743930295025,0.9990195113604271
2005,2017,0.7771405866973243,0.9963502107291792,0.8509191893133843,0.8815557762826606,0.9996860442376586
2005,2018,0.45815457969554635,0.9989153984754953,0.5418824883780199,0.676871169201013,0.9989223121505886
2005,2019,2.0937237781538913,0.9982379134386484,0.9240427466257062,1.4469705519304432,0.9984560369117732
2005,2020,36.14134399491084,0.9584878103394018,5.429000218832344,6.011767127468499,0.9915755536337907
